date,language,bytes
2026-08-01,Jupyter Notebook,14455349
2026-08-01,HTML,1024222
2026-08-01,TypeScript,617403
2026-08-01,JavaScript,272213
2026-08-01,Astro,229942
2026-08-01,CSS,129168
2026-08-01,Python,119414
2026-08-01,R,25301
2026-08-01,C++,18712
2026-08-01,Batchfile,6357
2026-08-02,Jupyter Notebook,14455349
2026-08-02,HTML,1024222
2026-08-02,TypeScript,617403
2026-08-02,JavaScript,272213
2026-08-02,Astro,229942
2026-08-02,CSS,129168
2026-08-02,Python,119414
2026-08-02,R,25301
2026-08-02,C++,18712
2026-08-02,Batchfile,6357
2026-08-03,Jupyter Notebook,14455349
2026-08-03,HTML,1024222
2026-08-03,TypeScript,617403
2026-08-03,JavaScript,277877
2026-08-03,Astro,229942
2026-08-03,CSS,129168
2026-08-03,Python,119414
2026-08-03,R,25301
2026-08-03,C++,18712
2026-08-03,Batchfile,6357
2026-08-04,Jupyter Notebook,14455349
2026-08-04,HTML,1024222
2026-08-04,TypeScript,617403
2026-08-04,JavaScript,277877
2026-08-04,Astro,229942
2026-08-04,CSS,129168
2026-08-04,Python,119414
2026-08-04,R,25301
2026-08-04,C++,18712
2026-08-04,Batchfile,6357
2026-08-05,Jupyter Notebook,14455349
2026-08-05,HTML,1024222
2026-08-05,TypeScript,617403
2026-08-05,JavaScript,277877
2026-08-05,Astro,229942
2026-08-05,CSS,129168
2026-08-05,Python,119414
2026-08-05,R,25301
2026-08-05,C++,18712
2026-08-05,Batchfile,6357
2026-08-07,Jupyter Notebook,14455349
2026-08-07,HTML,1077373
2026-08-07,TypeScript,617403
2026-08-07,JavaScript,278659
2026-08-07,CSS,157910
2026-08-07,Astro,134826
2026-08-07,Python,119414
2026-08-07,R,25301
2026-08-07,C++,18712
2026-08-07,Batchfile,6357
2026-08-08,Jupyter Notebook,14455349
2026-08-08,HTML,1077373
2026-08-08,TypeScript,617403
2026-08-08,JavaScript,278659
2026-08-08,CSS,157910
2026-08-08,Astro,134826
2026-08-08,Python,119414
2026-08-08,R,25301
2026-08-08,C++,18712
2026-08-08,Batchfile,6357
2026-08-09,Jupyter Notebook,14455349
2026-08-09,HTML,1077373
2026-08-09,TypeScript,617403
2026-08-09,JavaScript,278659
2026-08-09,CSS,157910
2026-08-09,Astro,134826
2026-08-09,Python,119414
2026-08-09,R,25301
2026-08-09,C++,18712
2026-08-09,Batchfile,6357
2026-08-10,Jupyter Notebook,14455349
2026-08-10,HTML,1077373
2026-08-10,TypeScript,617403
2026-08-10,JavaScript,278659
2026-08-10,CSS,158408
2026-08-10,Astro,136571
2026-08-10,Python,119414
2026-08-10,R,25301
2026-08-10,C++,18712
2026-08-10,Batchfile,6357
2026-08-11,Jupyter Notebook,14455349
2026-08-11,HTML,1077373
2026-08-11,TypeScript,617403
2026-08-11,JavaScript,278659
2026-08-11,CSS,158408
2026-08-11,Astro,136571
2026-08-11,Python,119414
2026-08-11,R,25301
2026-08-11,C++,18712
2026-08-11,Batchfile,6357
2026-08-12,Jupyter Notebook,14455349
2026-08-12,HTML,1077373
2026-08-12,TypeScript,617403
2026-08-12,JavaScript,278659
2026-08-12,CSS,158408
2026-08-12,Astro,136571
2026-08-12,Python,119414
2026-08-12,R,25301
2026-08-12,C++,18712
2026-08-12,Batchfile,6357
2026-08-13,Jupyter Notebook,14455349
2026-08-13,HTML,1077373
2026-08-13,TypeScript,617403
2026-08-13,JavaScript,278659
2026-08-13,CSS,158408
2026-08-13,Astro,136571
2026-08-13,Python,119414
2026-08-13,R,25301
2026-08-13,C++,18712
2026-08-13,Batchfile,6357
2026-08-14,Jupyter Notebook,14455349
2026-08-14,HTML,1077373
2026-08-14,TypeScript,617403
2026-08-14,JavaScript,278659
2026-08-14,CSS,158408
2026-08-14,Astro,136571
2026-08-14,Python,119414
2026-08-14,R,25301
2026-08-14,C++,18712
2026-08-14,Batchfile,6357
2026-08-15,Jupyter Notebook,14455349
2026-08-15,HTML,1092568
2026-08-15,TypeScript,617403
2026-08-15,JavaScript,278659
2026-08-15,CSS,162198
2026-08-15,Astro,140777
2026-08-15,Python,119414
2026-08-15,R,25301
2026-08-15,C++,18712
2026-08-15,Batchfile,6357
2026-08-16,Jupyter Notebook,14455349
2026-08-16,HTML,1092568
2026-08-16,TypeScript,617403
2026-08-16,JavaScript,278659
2026-08-16,CSS,162198
2026-08-16,Astro,140777
2026-08-16,Python,119414
2026-08-16,R,25301
2026-08-16,C++,18712
2026-08-16,Batchfile,6357
2026-08-17,Jupyter Notebook,14455349
2026-08-17,HTML,1092568
2026-08-17,TypeScript,617403
2026-08-17,JavaScript,278659
2026-08-17,CSS,162198
2026-08-17,Astro,140777
2026-08-17,Python,119414
2026-08-17,R,25301
2026-08-17,C++,18712
2026-08-17,Batchfile,6357
2026-08-18,Jupyter Notebook,14455349
2026-08-18,HTML,1092568
2026-08-18,TypeScript,617403
2026-08-18,JavaScript,278659
2026-08-18,CSS,162198
2026-08-18,Astro,140777
2026-08-18,Python,119414
2026-08-18,R,25301
2026-08-18,C++,18712
2026-08-18,Batchfile,6357
